EDGErank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct,EDGE_list_rank
595,Cercopithecus_preussi,Primates,Cercopithecidae,Allochrocebus,EN,0.955208429742216,0.563624630760711,2.01374628691657,0.618994807731703,0.490481686609364,0.287369346300379,1.75041896866032,1,0.732,1000,synonym:MSW3,Allochrocebus_preussi,0.0,386
596,Myosorex_gnoskei,Eulipotyphla,Soricidae,Myosorex,EN,0.952210433256612,1.44629460744173,1.9183950550357,2.62827151683241,0.471799977215062,0.284488199608255,2.27982562830241,1,0.538,1000,direct,Myosorex_gnoskei,0.0,387
597,Cercopithecus_diana,Primates,Cercopithecidae,Cercopithecus,EN,0.94806636755973,0.676550092410944,1.90041390555917,1.13609636094303,0.491978787974214,0.289834104255237,1.8347986738028,1,0.579,1000,direct,Cercopithecus_diana,0.0,388
599,Eliurus_penicillatus,Rodentia,Nesomyidae,Eliurus,EN,0.94736123513352,1.2514719122954,1.95640117128965,2.59628684884013,0.479542773697369,0.258556618001418,2.46935205358513,1,0.547,1000,direct,Eliurus_penicillatus,0.0,389
603,Ammotragus_lervia,Artiodactyla,Bovidae,Ammotragus,VU,0.944726237944314,0.360519041104608,3.9387061399191,0.995315033844083,0.245378121525951,0.076044669271588,2.974585158941,1,1.0,1000,direct,Ammotragus_lervia,0.0,390
604,Cephalophus_adersi,Artiodactyla,Bovidae,Leucocephalophus,VU,0.943462708042041,0.339393991996746,3.94656825101442,0.906378629505409,0.245683034794913,0.0722016940127662,3.942367379199,1,1.0,1000,synonym:MSW3,Leucocephalophus_adersi,0.0,391
607,Myosorex_rumpii,Eulipotyphla,Soricidae,Myosorex,EN,0.941971278928257,1.30279635618296,1.91836372012294,2.67134514543324,0.471799977215062,0.288691330132335,2.05682986522607,1,0.541,1000,direct,Myosorex_rumpii,0.0,392
608,Elephas_maximus,Proboscidea,Elephantidae,Elephas,EN,0.941261988071983,0.7854302523003,1.94911696697,1.28320776352054,0.465734260787695,0.284643134475895,1.8230620280805,1,0.593,1000,direct,Elephas_maximus,0.0,393
610,Lepilemur_scottorum,Primates,Lepilemuridae,Lepilemur,EN,0.939097485845925,0.891232280417792,1.84162553530977,1.59059558676648,0.491508721079618,0.285091059945344,1.18651973574901,1,0.536,1000,direct,Lepilemur_scottorum,0.0,394
611,Hipposideros_alongensis,Chiroptera,Hipposideridae,Hipposideros,VU,0.938534555458002,0.705792406705986,4.18752157130387,2.82961507943057,0.245814517063555,0.0784584460263843,3.38816612199853,1,0.794,1000,direct,Hipposideros_alongensis,0.0,395
613,Notopteris_neocaledonica,Chiroptera,Pteropodidae,Notopteris,EN,0.937025046830419,1.22632905173586,1.86932698692434,2.35257932862714,0.497890173481139,0.296558505619683,1.50459365250598,1,0.527,1000,synonym:MSW3,Notopteris_neocaledonicus,0.0,396
614,Eidolon_dupreanum,Chiroptera,Pteropodidae,Eidolon,VU,0.936618267729785,0.404116369075233,3.87285584971698,1.43245750897663,0.246059419333368,0.079399988578165,2.3739318164987,1,0.983,1000,direct,Eidolon_dupreanum,0.0,397
615,Equus_grevyi,Perissodactyla,Equidae,Equus,EN,0.935607419363582,0.560086975407092,1.97112275046488,0.588900253073791,0.487288887180536,0.277618384100842,1.78467733952931,1,0.697,1000,direct,Equus_grevyi,0.0,398
616,Amorphochilus_schnablii,Chiroptera,Furipteridae,Amorphochilus,VU,0.935515611699864,1.26874844320405,3.9259710881426,5.19152041389312,0.245063948457488,0.0786581819022419,4.80059124957733,1,0.865,1000,direct,Amorphochilus_schnablii,0.0,399
617,Lepilemur_milanoii,Primates,Lepilemuridae,Lepilemur,EN,0.934615390628738,0.912045124409955,1.82855631734893,1.58494533367468,0.491508721079618,0.285938499974151,1.17079663856739,1,0.523,1000,direct,Lepilemur_milanoii,0.0,400
618,Cheirogaleus_crossleyi,Primates,Cheirogaleidae,Cheirogaleus,VU,0.933713592224131,0.462661312777204,3.92878064683574,1.61826039326441,0.243717515454933,0.0773672494546457,2.4530568347804,1,0.921,1000,direct,Cheirogaleus_crossleyi,0.0,401
619,Antechinus_bellus,Dasyuromorphia,Dasyuridae,Antechinus,VU,0.933168022205356,0.54792710643905,3.99237542756094,1.97224743984649,0.241438704112126,0.0776251194011273,3.48963125899614,1,0.867,1000,direct,Antechinus_bellus,0.0,402
620,Lepilemur_edwardsi,Primates,Lepilemuridae,Lepilemur,EN,0.932505122254328,0.690024003455316,1.86934976202057,1.09562905971965,0.492078342730834,0.286453454354832,0.7433399813545,1,0.558,1000,direct,Lepilemur_edwardsi,0.0,403
621,Monachus_monachus,Carnivora,Phocidae,Monachus,VU,0.931986193130509,0.336057062544156,3.92551735380252,0.996625174009099,0.240949249438684,0.0786324408157088,3.675966829099,1,1.0,1000,direct,Monachus_monachus,0.0,404
622,Myotis_sicarius,Chiroptera,Vespertilionidae,Myotis,VU,0.93111208266767,0.51791818313396,3.98950862307668,1.75140652596543,0.24363304171511,0.0781017681243647,3.54885632615289,1,0.85,1000,direct,Myotis_sicarius,0.0,405
623,Neomonachus_schauinslandi,Carnivora,Phocidae,Neomonachus,VU,0.93070186694456,0.355291633472593,3.91630807931669,0.993775732741145,0.240949249438684,0.0783702755310563,3.675966829099,1,1.0,1000,direct,Neomonachus_schauinslandi,0.0,406
625,Lepilemur_petteri,Primates,Lepilemuridae,Lepilemur,EN,0.928375998099435,0.868799375112092,1.88198209322194,1.53688488562458,0.493289449274799,0.289208905371651,1.14202004641243,1,0.541,1000,direct,Lepilemur_petteri,0.0,407
626,Pteronotus_paraguanensis,Chiroptera,Mormoopidae,Pteronotus,EN,0.928000670264462,1.42336757308904,1.91002016554033,2.76569742486485,0.494750215186082,0.288754619653628,2.57278896444818,1,0.541,1000,direct,Pteronotus_paraguanensis,0.0,408
628,Suncus_zeylanicus,Eulipotyphla,Soricidae,Suncus,EN,0.926179824153829,1.5115688512649,1.92358324498405,2.94926034881377,0.486727872494886,0.280989744817383,2.3202944553756,1,0.535,1000,direct,Suncus_zeylanicus,0.0,409
629,Mus_famulus,Rodentia,Muridae,Mus,EN,0.924255595169931,0.629379149943571,1.9655135870729,0.760721401507392,0.500772094762007,0.291827883610384,1.72587006474675,1,0.64,1000,direct,Mus_famulus,0.0,410
632,Microgale_nasoloi,Afrosoricida,Tenrecidae,Microgale,VU,0.921245177820216,1.26701105254416,3.91901744067153,5.49093017767931,0.236761557662488,0.07980179947863,5.0603454615242,1,0.78,1000,direct,Microgale_nasoloi,0.0,411
