clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Microgale_talazaci,LC,MDD_synonym,Nesogale_talazaci,Afrosoricida,Tenrecidae
mammals,Microgale_soricoides,LC,direct,Microgale_soricoides,Afrosoricida,Tenrecidae
mammals,Microgale_parvula,LC,direct,Microgale_parvula,Afrosoricida,Tenrecidae
mammals,Microgale_drouhardi,LC,direct,Microgale_drouhardi,Afrosoricida,Tenrecidae
mammals,Oryzorictes_tetradactylus,DD,direct,Oryzorictes_tetradactylus,Afrosoricida,Tenrecidae
mammals,Oryzorictes_hova,LC,direct,Oryzorictes_hova,Afrosoricida,Tenrecidae
mammals,Geogale_aurita,LC,direct,Geogale_aurita,Afrosoricida,Tenrecidae
mammals,Tenrec_ecaudatus,LC,direct,Tenrec_ecaudatus,Afrosoricida,Tenrecidae
mammals,Hemicentetes_semispinosus,LC,direct,Hemicentetes_semispinosus,Afrosoricida,Tenrecidae
mammals,Hemicentetes_nigriceps,LC,direct,Hemicentetes_nigriceps,Afrosoricida,Tenrecidae
mammals,Setifer_setosus,LC,direct,Setifer_setosus,Afrosoricida,Tenrecidae
mammals,Echinops_telfairi,LC,direct,Echinops_telfairi,Afrosoricida,Tenrecidae
mammals,Huetia_leucorhina,DD,direct,Huetia_leucorhina,Afrosoricida,Chrysochloridae
mammals,Calcochloris_tytonis,DD,direct,Calcochloris_tytonis,Afrosoricida,Chrysochloridae
mammals,Calcochloris_obtusirostris,LC,direct,Calcochloris_obtusirostris,Afrosoricida,Chrysochloridae
mammals,Chrysospalax_villosus,VU,direct,Chrysospalax_villosus,Afrosoricida,Chrysochloridae
mammals,Chrysospalax_trevelyani,EN,direct,Chrysospalax_trevelyani,Afrosoricida,Chrysochloridae
mammals,Amblysomus_marleyi,EN,direct,Amblysomus_marleyi,Afrosoricida,Chrysochloridae
mammals,Amblysomus_corriae,NT,direct,Amblysomus_corriae,Afrosoricida,Chrysochloridae
mammals,Amblysomus_robustus,VU,direct,Amblysomus_robustus,Afrosoricida,Chrysochloridae
mammals,Carpitalpa_arendsi,VU,direct,Carpitalpa_arendsi,Afrosoricida,Chrysochloridae
mammals,Neamblysomus_julianae,EN,direct,Neamblysomus_julianae,Afrosoricida,Chrysochloridae
mammals,Neamblysomus_gunningi,EN,direct,Neamblysomus_gunningi,Afrosoricida,Chrysochloridae
mammals,Amblysomus_septentrionalis,NT,direct,Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae
mammals,Amblysomus_hottentotus,LC,direct,Amblysomus_hottentotus,Afrosoricida,Chrysochloridae
mammals,Chlorotalpa_sclateri,LC,direct,Chlorotalpa_sclateri,Afrosoricida,Chrysochloridae
mammals,Chlorotalpa_duthieae,VU,direct,Chlorotalpa_duthieae,Afrosoricida,Chrysochloridae
mammals,Chrysochloris_visagiei,DD,direct,Chrysochloris_visagiei,Afrosoricida,Chrysochloridae
mammals,Cryptochloris_zyli,EN,direct,Cryptochloris_zyli,Afrosoricida,Chrysochloridae
mammals,Cryptochloris_wintoni,CR,direct,Cryptochloris_wintoni,Afrosoricida,Chrysochloridae
mammals,Chrysochloris_asiatica,LC,direct,Chrysochloris_asiatica,Afrosoricida,Chrysochloridae
mammals,Chrysochloris_stuhlmanni,LC,direct,Chrysochloris_stuhlmanni,Afrosoricida,Chrysochloridae
mammals,Eremitalpa_granti,LC,direct,Eremitalpa_granti,Afrosoricida,Chrysochloridae
mammals,Dasypus_yepesi,DD,MDD_synonym,Dasypus_mazzai,Cingulata,Dasypodidae
mammals,Dasypus_sabanicola,NT,direct,Dasypus_sabanicola,Cingulata,Dasypodidae
mammals,Dasypus_novemcinctus,LC,direct,Dasypus_novemcinctus,Cingulata,Dasypodidae
mammals,Dasypus_septemcinctus,LC,direct,Dasypus_septemcinctus,Cingulata,Dasypodidae
mammals,Dasypus_hybridus,LC,MDD_synonym,Dasypus_septemcinctus,Cingulata,Dasypodidae
mammals,Dasypus_pilosus,DD,direct,Dasypus_pilosus,Cingulata,Dasypodidae
mammals,Dasypus_kappleri,LC,direct,Dasypus_kappleri,Cingulata,Dasypodidae
mammals,Zaedyus_pichiy,NT,direct,Zaedyus_pichiy,Cingulata,Euphractidae
mammals,Euphractus_sexcinctus,LC,direct,Euphractus_sexcinctus,Cingulata,Euphractidae
mammals,Chaetophractus_vellerosus,LC,direct,Chaetophractus_vellerosus,Cingulata,Euphractidae
mammals,Chaetophractus_nationi,LC,GBIF_iucn_link,Chaetophractus_nationi,Cingulata,Dasypodidae
mammals,Chaetophractus_villosus,LC,direct,Chaetophractus_villosus,Cingulata,Euphractidae
mammals,Chlamyphorus_truncatus,DD,direct,Chlamyphorus_truncatus,Cingulata,Chlamyphoridae
mammals,Calyptophractus_retusus,DD,direct,Calyptophractus_retusus,Cingulata,Chlamyphoridae
mammals,Tolypeutes_tricinctus,VU,direct,Tolypeutes_tricinctus,Cingulata,Tolypeutidae
