clade,n_species,n_threatened,n_EDGE,n_borderline,n_no_RedList_match,n_on_vgp,n_vgp_genome,n_EDGE_with_genome,pct_EDGE_with_genome,top10_EDGE_with_genome,top50_EDGE_with_genome,PD_Gy_median,ePDloss_Gy_median,pct_PD_at_risk,pct_PD_at_risk_q25,pct_PD_at_risk_q75,VU_EDGE_with_genome,EN_EDGE_with_genome,CR_EDGE_with_genome
mammals,5911,1284,610,304,129,247,236,38,6.229508196721312,1,7,29.919464639102348,3.03538964935892,10.136385879798773,9.996822978647614,10.29245803627235,14/247,17/252,7/111
birds,9993,1091,531,237,194,256,250,14,2.6365348399246704,1,4,84.51644496011376,5.67821096167821,6.719843253518727,6.656112388736266,6.785402994783028,8/291,4/158,2/82
squamates,9755,1527,875,225,239,41,39,3,0.34285714285714286,1,1,126.8632368293395,13.79851608567445,10.867901188421024,10.745070429307326,10.994072440817893,0/280,2/418,1/177
amphibians,7238,2481,1314,652,53,52,46,3,0.228310502283105,0,1,135.37964276822248,21.002457385596703,15.537524229577116,15.35483065524602,15.727844158594378,1/349,2/569,0/396
chondrichthyans,1192,401,263,89,38,36,34,10,3.802281368821293,4,5,39.752362641040946,6.054507616822836,15.143339043628373,14.68235842939552,15.529558446952226,2/107,4/82,4/74
