EDGErank,EDrank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct
4721,3783,Hybomys_planifrons,Rodentia,Muridae,Typomys,LC,0.0629982741479543,0.0896043482408957,1.26365762160307,1.62807979301953,0.0515889305593138,0.0274517834072245,1.38229861737406,0,0.0,1000,synonym:MSW3,Typomys_planifrons,0.0
4722,3768,Lophuromys_chrysopus,Rodentia,Muridae,Lophuromys,LC,0.0629441403142073,0.0759925726005209,1.26796897780072,1.5581389134682,0.0508782430466114,0.0272352304022274,1.13832871326267,0,0.0,1000,direct,Lophuromys_chrysopus,0.0
4723,3804,Kerivoula_argentata,Chiroptera,Vespertilionidae,Kerivoula,LC,0.0629141549028407,0.0914690611868097,1.25366994546946,1.76653641481039,0.0496751777047016,0.0262418969532114,1.50372715197469,0,0.0,1000,direct,Kerivoula_argentata,0.0
4724,5656,Capra_aegagrus,Artiodactyla,Bovidae,Capra,NT,0.0628304523285618,0.04921671970565,0.501843860439218,0.38333786893212,0.122608019453052,0.0416673027214041,0.33971020812092,0,0.0,1000,direct,Capra_aegagrus,0.0
4725,3581,Niviventer_eha,Rodentia,Muridae,Niviventer,LC,0.0628092974355639,0.0406609827141505,1.33797746884302,0.535877879147022,0.0502663773397956,0.025796367471609,1.24236076097232,0,0.0,1000,direct,Niviventer_eha,0.0
4726,3838,Rhogeessa_gracilis,Chiroptera,Vespertilionidae,Baeodon,LC,0.0628048317479206,0.0617222366540802,1.238217837064,1.05476068625591,0.0511474856833482,0.0272228817937067,1.13594056283459,0,0.0,1000,synonym:MSW3,Baeodon_gracilis,0.0
4727,5629,Ctenomys_argentinus,Rodentia,Ctenomyidae,Ctenomys,NT,0.06270996725781,0.039611260058312,0.526956647230607,0.305979649797967,0.122016310020376,0.041120786157886,0.28948988616404,0,0.0,1000,direct,Ctenomys_argentinus,0.0
4728,3606,Thallomys_nigricauda,Rodentia,Muridae,Thallomys,LC,0.0627062842113095,0.0472485108041461,1.3257797959967,0.602794239121374,0.0510358981857778,0.0273312144492059,1.14124411796993,0,0.0,1000,direct,Thallomys_nigricauda,0.0
4729,3593,Eptesicus_nilssonii,Chiroptera,Vespertilionidae,Cnephaeus,LC,0.0626479147062094,0.0473355213083599,1.33248231401245,0.713389046254184,0.049719432105202,0.0267213773008607,1.21280109074033,0,0.0,1000,synonym:MSW3,Cnephaeus_nilssonii,0.0
4730,3911,Tylomys_mirae,Rodentia,Cricetidae,Tylomys,LC,0.0626050997155321,0.0865070295651229,1.2073101104715,1.7283458937959,0.0513001878327125,0.0275730664565333,1.19268125433629,0,0.0,1000,direct,Tylomys_mirae,0.0
4731,3825,Hylomyscus_kerbispeterhansi,Rodentia,Muridae,Hylomyscus,LC,0.0624980355448771,0.040552389473879,1.24490710052877,0.415660364349356,0.05134000024983,0.0277648587905554,1.21305700649225,0,0.0,1000,direct,Hylomyscus_kerbispeterhansi,0.0
4732,3788,Margaretamys_beccarii,Rodentia,Muridae,Margaretamys,LC,0.0624212007608888,0.0784079820584844,1.26111683354322,1.42850913677086,0.0499056539704467,0.0260647163544777,1.26828904713687,0,0.0,1000,direct,Margaretamys_beccarii,0.0
4733,3656,Kerivoula_lanosa,Chiroptera,Vespertilionidae,Kerivoula,LC,0.0624194266911339,0.0930021138835758,1.30874122286027,1.85553399680977,0.0496751777047016,0.0262231170216719,1.5668314753571,0,0.0,1000,direct,Kerivoula_lanosa,0.0
4734,3912,Maxomys_inas,Rodentia,Muridae,Crunomys,LC,0.0623705376919767,0.0858630041854454,1.20668835155031,1.59648296697613,0.0506927255412382,0.0276732948042489,1.42810828688573,0,0.0,1000,synonym:MSW3,Crunomys_inas,0.0
4735,3709,Melogale_orientalis,Carnivora,Mustelidae,Melogale,LC,0.0623679339665547,0.0974984211954303,1.29003703143071,2.02083461367275,0.0484673727501112,0.0259798502983131,1.58738053377825,0,0.0,1000,direct,Melogale_orientalis,0.0
4736,3755,Niviventer_excelsior,Rodentia,Muridae,Niviventer,LC,0.0622696723714931,0.0385431811457691,1.27386204800694,0.453219833601735,0.0502586514349665,0.0261121501136155,1.13063738951213,0,0.0,1000,direct,Niviventer_excelsior,0.0
4737,5816,Eptesicus_bobrinskoi,,,,DD,0.0622569437610979,0.172903419791873,0.33057966250609,0.222945995294343,0.182814367944735,0.637159524225386,0.281437384743891,0,0.0,1000,unmatched,,
4738,3850,Marmota_caligata,Rodentia,Sciuridae,Marmota,LC,0.0622394536317902,0.0388462837397121,1.23120730335655,0.462009233911811,0.0507179599309811,0.0284189667566406,0.50572500649812,0,0.0,1000,direct,Marmota_caligata,0.0
4739,3959,Crocidura_serezkyensis,Eulipotyphla,Soricidae,Crocidura,LC,0.0622085112841729,0.096969866641483,1.18634232768215,1.7588913350821,0.0504420970460494,0.0279736803266557,1.49363625295802,0,0.0,1000,direct,Crocidura_serezkyensis,0.0
4740,3756,Carollia_manu,Chiroptera,Phyllostomidae,Carollia,LC,0.0621519325986654,0.039444608200012,1.27351339472683,0.49353875885339,0.0500814898650477,0.0284049467211459,1.2463198103055,0,0.0,1000,direct,Carollia_manu,0.0
4741,3811,Ellobius_talpinus,Rodentia,Cricetidae,Ellobius,LC,0.0621394967383785,0.0612319774374397,1.24979717709879,1.03539755828665,0.050967125175462,0.0273091436661889,1.25805758885979,0,0.0,1000,direct,Ellobius_talpinus,0.0
4742,3900,Callosciurus_quinquestriatus,Rodentia,Sciuridae,Callosciurus,LC,0.0621140195626798,0.091808036955032,1.21250500797765,1.77457901540583,0.0506343335003437,0.0275629110833014,1.7440465827242,0,0.0,1000,direct,Callosciurus_quinquestriatus,0.0
4743,3770,Vicugna_vicugna,Artiodactyla,Camelidae,Lama,LC,0.0620599000399206,0.0404708773106193,1.26784965337046,0.45840733746189,0.0499775782916185,0.0277798790276763,1.2249393763277,0,0.0,1000,synonym:MSW3,Lama_vicugna,0.0
4744,3663,Gerbilliscus_boehmi,Rodentia,Muridae,Gerbilliscus,LC,0.0620362713097063,0.106220455546553,1.30660715445115,1.96847305366183,0.0502247206735352,0.0271249542716726,1.65807154395454,0,0.0,1000,direct,Gerbilliscus_boehmi,0.0
4745,3920,Zyzomys_woodwardi,Rodentia,Muridae,Zyzomys,LC,0.0619955547402026,0.0827797415059941,1.20343446622401,1.36981728299176,0.0515889305593138,0.0274211492772441,0.931388271608004,0,0.0,1000,direct,Zyzomys_woodwardi,0.0
4746,3831,Holochilus_sciureus,Rodentia,Cricetidae,Holochilus,LC,0.0619914993323117,0.0403631770413479,1.24284740437364,0.513822932889404,0.0504562954005789,0.028071366116131,1.09101225997498,0,0.0,1000,direct,Holochilus_sciureus,0.0
4747,3754,Niviventer_andersoni,Rodentia,Muridae,Niviventer,LC,0.061991380328784,0.0392681857058843,1.27428779637907,0.448398840222081,0.0502586514349665,0.0260627071794681,1.13440780355051,0,0.0,1000,direct,Niviventer_andersoni,0.0
