EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
6230,5445,Fejervarya_asmati,Bangladeshi Cricket Frog,Anura,Dicroglossidae,LC,0.330079563734384,0.437200138320798,6.57558811513921,8.1966403600356,0.0505489461732372,0.0273751881973267,7.72042250509966,0.0,0,1000,GBIF_accepted,Minervarya_asmati,False,False,,,
6231,5233,Callulops_microtis,,Anura,Microhylidae,LC,0.329955427422612,0.472802987971372,6.84934435926105,8.92015880892568,0.049719432105202,0.0262613178590967,7.78897288707908,0.0,0,1000,direct,Callulops_microtis,False,False,,,
6232,5248,Limnonectes_woodworthi,,Anura,Dicroglossidae,LC,0.32975082846096,0.211169361903883,6.82948374326894,2.56538487842771,0.0503385550146942,0.0268976909511956,6.29251401182348,0.0,0,1000,direct,Limnonectes_woodworthi,False,False,,,
6233,5395,Boophis_tephraeomystax,Dumeril's Bright-eyed Frog,Anura,Mantellidae,LC,0.329427175452952,0.207191841431871,6.64131002587884,2.77011139206127,0.0510928758794828,0.0280210471583255,6.0448894581105,0.0,0,1000,direct,Boophis_tephraeomystax,False,False,,,
6234,5109,Duttaphrynus_dhufarensis,,Anura,Bufonidae,LC,0.329285994279375,0.319185016422992,7.02194644983007,5.89916137499083,0.0504450443429222,0.028022450590164,5.62660364933215,0.0,0,1000,GBIF_iucn_link,Duttaphrynus_dhufarensis,False,False,,,
6235,5383,Philautus_jerdonii,Jerdon's Bubble-nest Frog,Anura,Rhacophoridae,LC,0.329237683381336,0.36159048342495,6.65603419426341,7.30823385730545,0.0504285588361988,0.0274815656484061,7.40584581665462,0.0,0,1000,GBIF_accepted,Nasutixalus_jerdonii,False,False,,,
6236,5592,Rhinella_spinulosa,Warty Toad,Anura,Bufonidae,LC,0.329205632667377,0.348373795038268,6.37701293661196,6.69092389681913,0.0509682522052751,0.0280579185916017,2.58989895498384,0.0,0,1000,direct,Rhinella_spinulosa,False,False,,,
6237,7106,Rana_culaiensis,Culai Brown Frog,Anura,Ranidae,DD,0.329163297931739,0.793917131820535,1.86174055612229,1.59342935877364,0.159744284855819,0.428578090009251,1.6884022438158,0.0,0,1000,direct,Rana_culaiensis,False,False,,,
6238,5456,Osteocephalus_taurinus,Manaus Slender-legged Treefrog,Anura,Hylidae,LC,0.329048325580565,0.233006854102681,6.56030754172293,2.94551683348108,0.050273565307737,0.0284367652793295,6.2597323377434,0.0,0,1000,direct,Osteocephalus_taurinus,False,False,,,
6239,5649,Hylarana_parkeriana,Congolo Frog,Anura,Ranidae,LC,0.329010010093946,0.525716865477581,6.27244088997887,9.75098526054635,0.0511465998229081,0.0282676228962661,8.33001207510752,0.0,0,1000,direct,Hylarana_parkeriana,False,False,,,
6240,5513,Amietia_fuscigula,Dark-throated River Frog,Anura,Pyxicephalidae,LC,0.328787045107918,0.298531379936689,6.49184576560892,5.04369109448979,0.0506199320668392,0.028413237898128,5.96617520351952,0.0,0,1000,direct,Amietia_fuscigula,False,False,,,
6241,5304,Rana_hanluica,Hanlui Brown Frog,Anura,Ranidae,LC,0.328686611400692,0.216130237649043,6.76127299774546,2.37659716107986,0.0502318916367197,0.027251696161085,6.737879506071,0.0,0,1000,direct,Rana_hanluica,False,False,,,
6242,5269,Pristimantis_lythrodes,,Anura,Strabomantidae,LC,0.328630672386411,0.430696827579168,6.80117771836356,7.73579052017115,0.0514913136060746,0.0275807558658735,6.10331489265266,0.0,0,1000,direct,Pristimantis_lythrodes,False,False,,,
6243,5397,Odontophrynus_carvalhoi,Carvalho's Escuerzo,Anura,Odontophrynidae,LC,0.328416871886738,0.473586280228307,6.63947673357542,8.82745687437182,0.0504662319686201,0.0284507897249659,7.6759660324955,0.0,0,1000,direct,Odontophrynus_carvalhoi,False,False,,,
6244,7158,Spinomantis_tavaratra,,Anura,Mantellidae,VU,0.328272487149423,0.223029950738346,1.3952765622565,0.927268928451738,0.236477482828949,0.0790522909888477,0.704892174830467,0.0,0,1000,direct,Spinomantis_tavaratra,False,False,,,
6245,4984,Amietophrynus_gracilipes,French Congo Toad,Anura,Bufonidae,LC,0.328015701682841,0.368139602201759,7.18518679932172,7.13769890325242,0.0506921141435022,0.0280372468374752,6.2627142774856,0.0,0,1000,GBIF_accepted,Sclerophrys_gracilipes,False,False,,,
6246,5275,Callulops_personatus,Maprik Callulops Frog,Anura,Microhylidae,LC,0.327924138326203,0.464967811677407,6.7986119108257,8.77627392230889,0.0498872209521706,0.0264470300097937,7.54136669789719,0.0,0,1000,direct,Callulops_personatus,False,False,,,
6247,5386,Litoria_becki,,Anura,Hylidae,LC,0.327702244029962,0.407068885476637,6.65305405020625,7.7015540449468,0.0501868853767942,0.0259140654044292,7.4794174233526,0.0,0,1000,direct,Litoria_becki,False,False,,,
6248,5534,Dendropsophus_cruzi,,Anura,Hylidae,LC,0.327262419975977,0.48702157434089,6.46317014679071,9.65073977063759,0.0497461462650538,0.0273135712040367,8.8557451417744,0.0,0,1000,direct,Dendropsophus_cruzi,False,False,,,
6249,5437,Zachaenus_parvulus,,Anura,Cycloramphidae,LC,0.327155695805822,0.430585078386641,6.58605074312445,8.37614381525757,0.050945851540947,0.0277293528840057,7.80247818376084,0.0,0,1000,GBIF_iucn_link,Zachaenus_parvulus,False,False,,,
6250,5315,Dendropsophus_elianeae,,Anura,Hylidae,LC,0.327081120412085,0.482571567515081,6.75351012893375,9.29445239626371,0.049550728418639,0.0270651568272422,8.39109950168018,0.0,0,1000,direct,Dendropsophus_elianeae,False,False,,,
6251,5422,Hyperolius_balfouri,,Anura,Hyperoliidae,LC,0.327050240842059,0.462441003190037,6.60809002047309,8.67564475657754,0.0500563237739035,0.0275922746484989,7.91295652816916,0.0,0,1000,direct,Hyperolius_balfouri,False,False,,,
6252,5442,Boophis_doulioti,,Anura,Mantellidae,LC,0.327011357516711,0.211459505264911,6.57789631844412,2.80102397129984,0.0510389553470882,0.0278303915469757,5.89962233718134,0.0,0,1000,direct,Boophis_doulioti,False,False,,,
6253,5512,Ansonia_lumut,Mossy Stream Toad,Anura,Bufonidae,LC,0.327011040529319,0.38497881092011,6.49233697090493,7.13319314573684,0.0509737712658562,0.028429977342502,6.72745052391215,0.0,0,1000,direct,Ansonia_lumut,False,False,,,
6254,5459,Sphaenorhynchus_caramaschii,Lime Treefrog,Anura,Hylidae,LC,0.326633595317197,0.491830196049274,6.55398199977129,9.721836770878,0.0501263222746404,0.0286078786187927,8.2854160124584,0.0,0,1000,direct,Sphaenorhynchus_caramaschii,False,False,,,
6255,5539,Proceratophrys_caramaschii,,Anura,Odontophrynidae,LC,0.326417409581253,0.398091744260364,6.45388359473437,7.49006776423271,0.0502731297571397,0.0284281327454358,7.29449020158886,0.0,0,1000,GBIF_iucn_link,Proceratophrys_caramaschii,False,False,,,
6256,5404,Scinax_blairi,Blair's Snouted Treefrog,Anura,Hylidae,LC,0.326145879233755,0.481321351928669,6.63071403614976,9.26909690189193,0.0491105798963125,0.0269926453859406,8.31165613234681,0.0,0,1000,direct,Scinax_blairi,False,False,,,
6257,5394,Oxydactyla_stenodactyla,,Anura,Microhylidae,LC,0.326144281738331,0.417931442126252,6.64183696092808,8.51323876392374,0.0500976392154562,0.0266035236491618,7.59143742237838,0.0,0,1000,GBIF_accepted,Sphenophryne_stenodactyla,False,False,,,
6258,5548,Aplastodiscus_ibirapitanga,,Anura,Hylidae,LC,0.32610899518084,0.536290162576678,6.43849781522961,10.0434765912296,0.0505327993738175,0.027688073258661,9.10672491176602,0.0,0,1000,direct,Aplastodiscus_ibirapitanga,False,False,,,
6259,5489,Rhacophorus_suffry,Suffry Red-webbed Treefrog,Anura,Rhacophoridae,LC,0.325911998805914,0.489281950719282,6.51541354548422,8.94611329218324,0.0507524336224387,0.0277847498610065,7.62842742347239,0.0,0,1000,GBIF_accepted,Zhangixalus_suffry,False,False,,,
6260,5502,Rhacophorus_belalongensis,Belalong Tree Frog,Anura,Rhacophoridae,LC,0.325824510423243,0.248508191925708,6.49984394144193,4.29907150073743,0.0515979655610654,0.0280584425046026,6.41646442636741,0.0,0,1000,GBIF_accepted,Leptomantis_belalongensis,False,False,,,
